Transation_ID,Date,Customer ID,Gender,City,Product Category,Age,Payment,Quantity,Price per Unit,Total Amount
1,24-11-2023,CUST001,Male,Pune,Beauty,53,Ewallet,3,50,150
2,27-02-2023,CUST002,Female,Pune,Clothing,34,Cash,2,500,1000
3,13-01-2023,CUST003,Male,Kolkata,Electronics,26,Credit card,1,30,30
4,21-05-2023,CUST004,Male,Pune,Clothing,50,Ewallet,1,500,500
5,06-05-2023,CUST005,Male,Pune,Beauty,37,Ewallet,2,50,100
6,25-04-2023,CUST006,Female,Mumbai,Beauty,30,Ewallet,1,30,30
7,13-03-2023,CUST007,Male,Pune,Clothing,45,Ewallet,2,25,50
8,22-02-2023,CUST008,Male,Mumbai,Stationery,46,Ewallet,4,25,100
9,13-12-2023,CUST009,Male,Pune,Electronics,30,Credit card,2,300,600
10,07-10-2023,CUST010,Female,Bangalor,Clothing,63,Credit card,4,50,200
11,14-02-2023,CUST011,Male,Bangalor,Clothing,52,Ewallet,2,50,100
12,30-10-2023,CUST012,Male,Bangalor,Beauty,23,Cash,3,25,75
13,05-08-2023,CUST013,Male,Pune,Stationery,35,Ewallet,3,500,1500
14,17-01-2023,CUST014,Male,Kolkata,Clothing,22,Ewallet,4,30,120
15,16-01-2023,CUST015,Female,Pune,Electronics,64,Cash,4,500,2000
16,17-02-2023,CUST016,Male,Bangalor,Clothing,42,Cash,3,500,1500
17,22-04-2023,CUST017,Female,Pune,Clothing,19,Credit card,4,25,100
18,30-04-2023,CUST018,Female,Kolkata,Electronics,27,Credit card,2,25,50
19,16-09-2023,CUST019,Female,Pune,Stationery,47,Credit card,2,25,50
20,05-11-2023,CUST020,Male,Mumbai,Clothing,62,Ewallet,3,300,900
21,14-01-2023,CUST021,Female,Mumbai,Beauty,22,Ewallet,1,500,500
22,15-10-2023,CUST022,Male,Mumbai,Clothing,50,Ewallet,2,50,100
23,12-04-2023,CUST023,Female,Mumbai,Clothing,18,Credit card,4,30,120
24,29-11-2023,CUST024,Female,Pune,Clothing,35,Ewallet,1,300,300
25,26-12-2023,CUST025,Female,Pune,Stationery,49,Ewallet,1,50,50
26,07-10-2023,CUST026,Female,Kolkata,Electronics,64,Credit card,2,500,1000
27,03-08-2023,CUST027,Female,Mumbai,Beauty,28,Cash,2,25,50
28,23-04-2023,CUST028,Female,Pune,Beauty,38,Credit card,1,500,500
29,18-08-2023,CUST029,Female,Mumbai,Electronics,43,Cash,1,30,30
30,29-10-2023,CUST030,Female,Pune,Beauty,42,Cash,3,300,900
31,23-05-2023,CUST031,Male,Mumbai,Electronics,39,Credit card,4,300,1200
32,04-01-2023,CUST032,Male,Mumbai,Beauty,44,Cash,3,30,90
33,23-03-2023,CUST033,Female,Mumbai,Stationery,30,Cash,2,50,100
34,24-12-2023,CUST034,Female,Pune,Clothing,50,Credit card,3,50,150
35,05-08-2023,CUST035,Female,Nashik,Beauty,51,Ewallet,3,300,900
36,24-06-2023,CUST036,Male,Nashik,Beauty,58,Ewallet,3,300,900
37,23-05-2023,CUST037,Female,Pune,Beauty,52,Ewallet,3,25,75
38,21-03-2023,CUST038,Male,Pune,Beauty,18,Ewallet,4,50,200
39,21-04-2023,CUST039,Male,Nashik,Clothing,38,Ewallet,4,30,120
40,22-06-2023,CUST040,Male,Mumbai,Beauty,23,Cash,1,50,50
41,22-02-2023,CUST041,Male,Kolkata,Stationery,45,Ewallet,2,25,50
